symbol,risk_bucket,risk_role,market_value,account_market_value_weight,cluster_market_value_weight,annualized_vol,risk_weight_score,return_data_source,return_proxy,cluster_vol_weighted_risk_weight
SNDK,Memory/storage,Legacy memory/storage concentration,3676023.33,0.42462673591745714,0.4535242159241885,1.0012801690433466,3680729.261269686,direct,SNDK,0.6009147019516343
WDC,Memory/storage,Legacy memory/storage concentration,3466476.24,0.40042142249587404,0.4276716379723926,0.5713387526725254,1980532.211130546,direct,WDC,0.3233410660980215
MU,Memory peer,DRAM/memory peer concentration,375500.0,0.043374953046613325,0.046326785167474106,0.5619938348829683,211028.68499855459,direct,MU,0.034452476764185565
STX,Storage peer,Storage peer concentration,456754.26,0.0527608377665529,0.056351415385748636,0.4588916933306243,209600.73580737624,direct,STX,0.03421935022818954
INTC,Semiconductor,Semiconductor factor exposure,127150.23999999999,0.014687445245980332,0.015686982296864906,0.3314249483391083,42140.761723305215,proxy:SOXX,SOXX,0.006879887509639733
SMCI,AI hardware,AI server/hardware factor exposure,3558.0,0.00041099356308881544,0.0004389632533312194,0.3314249483391083,1179.2099661905472,proxy:SOXX,SOXX,0.0001925174483296152
