target,proxy,start_date,end_date,n_days,correlation,beta_to_proxy,r_squared,annualized_target_vol,annualized_proxy_vol
MU,SOXX,2001-07-16,2026-05-15,6246,0.7212531827076983,1.15975644240456,0.5202061535659844,0.5329227353519406,0.3314249483391083
MU,QQQ,2000-01-04,2026-05-15,6631,0.5959695200759185,1.2504314084020756,0.3551796688595206,0.5619938348829683,0.2678525137886897
MU,SPY,2000-01-04,2026-05-15,6631,0.5665072377253293,1.6487815907878733,0.32093045039518275,0.5619938348829683,0.19309626987409517
MU,STX,2002-12-12,2026-05-15,5893,0.4491008257870901,0.5046969667131462,0.20169155172264625,0.5156998882554338,0.4588916933306243
SEMI_CLUSTER_CURRENT_WEIGHT_BASKET,STX,2025-02-14,2026-05-15,314,0.7998005898212747,0.9335337632089658,0.6396809834784588,0.7246532011321752,0.6208431666029134
SEMI_CLUSTER_CURRENT_WEIGHT_BASKET,MU,2025-02-14,2026-05-15,314,0.7819155238669443,0.844204524749917,0.6113918864641179,0.7246532011321752,0.6711852054488513
SEMI_CLUSTER_CURRENT_WEIGHT_BASKET,SOXX,2025-02-14,2026-05-15,314,0.6867763332544746,1.2309483826427479,0.47166173191846117,0.7246532011321752,0.404301817502863
SEMI_CLUSTER_CURRENT_WEIGHT_BASKET,QQQ,2025-02-14,2026-05-15,314,0.5924280528936655,1.8969007972447134,0.3509709978553797,0.7246532011321752,0.22631910197595492
SEMI_CLUSTER_CURRENT_WEIGHT_BASKET,SPY,2025-02-14,2026-05-15,314,0.5582149888032448,2.180241895016437,0.31160397372460674,0.7246532011321752,0.18553550387269435
SNDK,MU,2025-02-14,2026-05-15,314,0.7026834748298617,1.0482695726153453,0.4937640657989689,1.0012801690433466,0.6711852054488513
SNDK,STX,2025-02-14,2026-05-15,314,0.620321589094655,1.0004389820194228,0.38479887389691797,1.0012801690433466,0.6208431666029134
SNDK,SOXX,2025-02-14,2026-05-15,314,0.5776405388617921,1.4305649674546157,0.3336685921365416,1.0012801690433466,0.404301817502863
SNDK,QQQ,2025-02-14,2026-05-15,314,0.4908418638882002,2.1715808350094306,0.24092573534524248,1.0012801690433466,0.22631910197595492
SNDK,SPY,2025-02-14,2026-05-15,314,0.4658385772695158,2.5139928458942187,0.21700558007248663,1.0012801690433466,0.18553550387269435
SNDK_WDC_CURRENT_WEIGHT_BASKET,STX,2025-02-14,2026-05-15,314,0.7799890528529855,0.8399781045209943,0.6083829225704974,0.6685922890589847,0.6208431666029134
SNDK_WDC_CURRENT_WEIGHT_BASKET,MU,2025-02-14,2026-05-15,314,0.7608991599545997,0.7579596614572174,0.5789675316196154,0.6685922890589847,0.6711852054488513
SNDK_WDC_CURRENT_WEIGHT_BASKET,SOXX,2025-02-14,2026-05-15,314,0.6661304579024113,1.1015772583256542,0.4437297869452762,0.6685922890589847,0.404301817502863
SNDK_WDC_CURRENT_WEIGHT_BASKET,QQQ,2025-02-14,2026-05-15,314,0.5744932529949607,1.6971689782935415,0.3300424977367319,0.6685922890589847,0.22631910197595492
SNDK_WDC_CURRENT_WEIGHT_BASKET,SPY,2025-02-14,2026-05-15,314,0.5425512422839454,1.9551275601639972,0.2943618505038524,0.6685922890589847,0.18553550387269435
STX,SOXX,2002-12-12,2026-05-15,5893,0.5278942391396411,0.7885562192519893,0.27867232771682054,0.4588916933306243,0.30720229627769857
STX,QQQ,2002-12-12,2026-05-15,5893,0.4961242505079847,1.0552979311853914,0.24613927194210955,0.4588916933306243,0.215737462085482
STX,SPY,2002-12-12,2026-05-15,5893,0.4779183600777721,1.178621613645384,0.22840595889942703,0.4588916933306243,0.18607563529364335
STX,MU,2002-12-12,2026-05-15,5893,0.44910082578709015,0.39962901508239357,0.2016915517226463,0.4588916933306243,0.5156998882554338
WDC,STX,2002-12-12,2026-05-15,5893,0.6784643800203276,0.6976099686611053,0.46031391495636753,0.47184115958103323,0.4588916933306243
WDC,SOXX,2001-07-16,2026-05-15,6246,0.5892893844317657,0.9011577070784939,0.34726197860396935,0.5068242435791948,0.3314249483391083
WDC,SPY,2000-01-04,2026-05-15,6631,0.4863285067667341,1.4389626616110716,0.23651541649396135,0.5713387526725254,0.19309626987409517
WDC,QQQ,2000-01-04,2026-05-15,6631,0.47649019355823136,1.0163701993964473,0.22704290455716078,0.5713387526725254,0.2678525137886897
WDC,MU,2000-01-04,2026-05-15,6631,0.4604098644202504,0.468065628710626,0.21197724325547335,0.5713387526725254,0.5619938348829683
