tax_rate_scenario,federal_ltcg_rate,niit_rate,state_rate,combined_tax_rate,sale_method,sale_pct,lots_touched,sale_value,basis_sold,realized_gain,effective_gain_pct_of_sale,realized_gain_pct_of_full_embedded_gain,estimated_tax,after_tax_sale_proceeds,harvested_losses_needed_to_fully_offset_gain,gross_overlay_needed_at_10pct_loss_yield,gross_overlay_needed_at_10pct_loss_yield_pct_of_concentrated_mv
Federal + NIIT + 9.3% state placeholder,0.2,0.038,0.093,0.331,tax_aware_each_symbol,0.2,14,1621092.4139999999,40666.790334572106,1580425.6236654278,0.974913959263909,0.1978698731611736,523120.8814332566,1097971.5325667432,1580425.6236654278,15804256.236654278,1.9498279185278178
Federal + NIIT + 13.3% state placeholder,0.2,0.038,0.133,0.371,tax_aware_each_symbol,0.2,14,1621092.4139999999,40666.790334572106,1580425.6236654278,0.974913959263909,0.1978698731611736,586337.9063798737,1034754.5076201261,1580425.6236654278,15804256.236654278,1.9498279185278178
Federal top LTCG only,0.2,0.0,0.0,0.2,tax_aware_each_symbol,0.25,15,2026365.5174999998,48141.46147815638,1978224.0560218436,0.9762424591899145,0.24767438415835857,395644.8112043687,1630720.7062956311,1978224.0560218436,19782240.560218435,2.440606147974786
Federal top LTCG + NIIT,0.2,0.038,0.0,0.238,tax_aware_each_symbol,0.25,15,2026365.5174999998,48141.46147815638,1978224.0560218436,0.9762424591899145,0.24767438415835857,470817.32533319877,1555548.192166801,1978224.0560218436,19782240.560218435,2.440606147974786
Federal + NIIT + 9.3% state placeholder,0.2,0.038,0.093,0.331,tax_aware_each_symbol,0.25,15,2026365.5174999998,48141.46147815638,1978224.0560218436,0.9762424591899145,0.24767438415835857,654792.1625432302,1371573.3549567696,1978224.0560218436,19782240.560218435,2.440606147974786
Federal + NIIT + 13.3% state placeholder,0.2,0.038,0.133,0.371,tax_aware_each_symbol,0.25,15,2026365.5174999998,48141.46147815638,1978224.0560218436,0.9762424591899145,0.24767438415835857,733921.124784104,1292444.392715896,1978224.0560218436,19782240.560218435,2.440606147974786
Federal top LTCG only,0.2,0.0,0.0,0.2,tax_aware_each_symbol,0.3333333333333333,17,2701820.6899999995,59042.52870195998,2642778.1612980394,0.9781471328128885,0.33087680415884274,528555.6322596079,2173265.0577403917,2642778.1612980394,26427781.61298039,3.260490442709627
Federal top LTCG + NIIT,0.2,0.038,0.0,0.238,tax_aware_each_symbol,0.3333333333333333,17,2701820.6899999995,59042.52870195998,2642778.1612980394,0.9781471328128885,0.33087680415884274,628981.2023889334,2072839.487611066,2642778.1612980394,26427781.61298039,3.260490442709627
Federal + NIIT + 9.3% state placeholder,0.2,0.038,0.093,0.331,tax_aware_each_symbol,0.3333333333333333,17,2701820.6899999995,59042.52870195998,2642778.1612980394,0.9781471328128885,0.33087680415884274,874759.571389651,1827061.1186103486,2642778.1612980394,26427781.61298039,3.260490442709627
Federal + NIIT + 13.3% state placeholder,0.2,0.038,0.133,0.371,tax_aware_each_symbol,0.3333333333333333,17,2701820.6899999995,59042.52870195998,2642778.1612980394,0.9781471328128885,0.33087680415884274,980470.6978415726,1721349.992158427,2642778.1612980394,26427781.61298039,3.260490442709627
Federal top LTCG only,0.2,0.0,0.0,0.2,tax_aware_each_symbol,0.5,21,4052731.0349999988,77387.87647962412,3975343.158520375,0.9809047588376109,0.4977144351306008,795068.631704075,3257662.403295924,3975343.158520375,39753431.585203744,4.904523794188052
Federal top LTCG + NIIT,0.2,0.038,0.0,0.238,tax_aware_each_symbol,0.5,21,4052731.0349999988,77387.87647962412,3975343.158520375,0.9809047588376109,0.4977144351306008,946131.6717278492,3106599.3632721496,3975343.158520375,39753431.585203744,4.904523794188052
Federal + NIIT + 9.3% state placeholder,0.2,0.038,0.093,0.331,tax_aware_each_symbol,0.5,21,4052731.0349999988,77387.87647962412,3975343.158520375,0.9809047588376109,0.4977144351306008,1315838.585470244,2736892.449529755,3975343.158520375,39753431.585203744,4.904523794188052
Federal + NIIT + 13.3% state placeholder,0.2,0.038,0.133,0.371,tax_aware_each_symbol,0.5,21,4052731.0349999988,77387.87647962412,3975343.158520375,0.9809047588376109,0.4977144351306008,1474852.311811059,2577878.7231889395,3975343.158520375,39753431.585203744,4.904523794188052
