overlay_gross_pct_of_cluster_mv,annual_harvested_loss_yield_of_gross,illustrative_harvested_loss,coverage_of_10%_tax_aware_each_symbol_sale_gain,coverage_of_25%_tax_aware_each_symbol_sale_gain,coverage_of_50%_tax_aware_each_symbol_sale_gain,coverage_of_100%_tax_aware_each_symbol_sale_gain
0.25,0.03,60790.965525,0.07731762350392457,0.030730070913832192,0.015292004514052174,0.007611051388726076
0.25,0.05,101318.275875,0.1288627058398743,0.05121678485638699,0.025486674190086957,0.012685085647876794
0.25,0.08,162109.2414,0.20618032934379885,0.08194685577021918,0.04077867870413913,0.02029613703660287
0.25,0.1,202636.55175,0.2577254116797486,0.10243356971277398,0.050973348380173915,0.02537017129575359
0.25,0.15,303954.827625,0.38658811751962285,0.15365035456916096,0.07646002257026087,0.03805525694363038
0.5,0.03,121581.93105,0.15463524700784914,0.061460141827664384,0.030584009028104348,0.015222102777452153
0.5,0.05,202636.55175,0.2577254116797486,0.10243356971277398,0.050973348380173915,0.02537017129575359
0.5,0.08,324218.4828,0.4123606586875977,0.16389371154043836,0.08155735740827826,0.04059227407320574
0.5,0.1,405273.1035,0.5154508233594972,0.20486713942554796,0.10194669676034783,0.05074034259150718
0.5,0.15,607909.65525,0.7731762350392457,0.3073007091383219,0.15292004514052174,0.07611051388726076
0.75,0.03,182372.896575,0.2319528705117737,0.09219021274149657,0.04587601354215652,0.02283315416617823
0.75,0.05,303954.82762500003,0.3865881175196229,0.15365035456916099,0.07646002257026088,0.038055256943630385
0.75,0.08,486327.72420000006,0.6185409880313967,0.24584056731065757,0.1223360361124174,0.06088841110980862
0.75,0.1,607909.6552500001,0.7731762350392458,0.30730070913832197,0.15292004514052177,0.07611051388726077
0.75,0.15,911864.482875,1.1597643525588686,0.4609510637074829,0.2293800677107826,0.11416577083089115
1.0,0.03,243163.8621,0.3092704940156983,0.12292028365532877,0.061168018056208695,0.030444205554904305
1.0,0.05,405273.1035,0.5154508233594972,0.20486713942554796,0.10194669676034783,0.05074034259150718
1.0,0.08,648436.9656,0.8247213173751954,0.3277874230808767,0.1631147148165565,0.08118454814641148
1.0,0.1,810546.207,1.0309016467189944,0.4097342788510959,0.20389339352069566,0.10148068518301435
1.0,0.15,1215819.3105,1.5463524700784914,0.6146014182766438,0.3058400902810435,0.1522210277745215
1.5,0.03,364745.79315,0.4639057410235474,0.18438042548299313,0.09175202708431304,0.04566630833235646
1.5,0.05,607909.6552500001,0.7731762350392458,0.30730070913832197,0.15292004514052177,0.07611051388726077
1.5,0.08,972655.4484000001,1.2370819760627934,0.49168113462131513,0.2446720722248348,0.12177682221961723
1.5,0.1,1215819.3105000001,1.5463524700784916,0.6146014182766439,0.30584009028104353,0.15222102777452154
1.5,0.15,1823728.96575,2.319528705117737,0.9219021274149658,0.4587601354215652,0.2283315416617823
